"Time(CDT)","Access point","SSID","Client","Category","Event type","Details"
"Jul 12 12:20:11","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:20:08","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""previous authentication expired"""
"Jul 12 12:20:05","opdc-ap-2a11","Tyler-Guest","Android","WPA","WPA authentication",""""""
"Jul 12 12:20:05","opdc-ap-2a11","Tyler-Guest","Android","802.11","802.11 association","""channel: 140, rssi: 46, band: 5"""
"Jul 12 12:19:59","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:19:56","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 42, band: 5"""
"Jul 12 12:19:56","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:19:55","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:19:54","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:19:51","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 43, band: 5"""
"Jul 12 12:19:51","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 57, band: 5"""
"Jul 12 12:19:44","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA authentication",""""""
"Jul 12 12:19:44","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 association","""channel: 1, rssi: 49, band: 2"""
"Jul 12 12:19:44","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:19:38","opdc-ap-2a11","Tyler-Guest","Android","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:19:38","opdc-ap-2a11","Tyler-Guest","Android","WPA","WPA deauthentication","""radio: 1, vap: 0, client_mac: A6:C1:96:EC:8D:12, aid: 1562175371"""
"Jul 12 12:19:26","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA authentication",""""""
"Jul 12 12:19:26","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 association","""channel: 144, rssi: 41, band: 5"""
"Jul 12 12:19:20","opdc-ap-2a12","Tyler-Guest","Android","WPA","WPA authentication",""""""
"Jul 12 12:19:20","opdc-ap-2a12","Tyler-Guest","Android","802.11","802.11 association","""channel: 36, rssi: 41, band: 5"""
"Jul 12 12:19:16","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:19:16","opdc-ap-2a8","Tyler-Guest","26:77:88:f5:0f:51","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:19:12","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 41, band: 5"""
"Jul 12 12:19:12","opdc-ap-2a8","Tyler-Guest","26:77:88:f5:0f:51","802.11","802.11 association","""channel: 1, rssi: 31, band: 2"""
"Jul 12 12:19:12","opdc-ap-1a15","Tyler-Guest","Android","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:19:12","opdc-ap-1a15","Tyler-Guest","Android","WPA","WPA deauthentication","""radio: 0, vap: 0, client_mac: A6:C1:96:EC:8D:12, aid: 1483472568"""
"Jul 12 12:19:11","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:19:10","opdc-ap-2a2","Tyler-Guest","26:77:88:f5:0f:51","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:19:08","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 40, band: 5"""
"Jul 12 12:19:06","opdc-ap-2a2","Tyler-Guest","26:77:88:f5:0f:51","802.11","802.11 association","""channel: 1, rssi: 40, band: 2"""
"Jul 12 12:18:54","opdc-ap-1a10","Tyler-Guest","Android","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:18:47","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 165, rssi: 41, band: 5"""
"Jul 12 12:18:47","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:18:46","opdc-ap-2a11","Tyler-Guest","Android","WPA","WPA authentication",""""""
"Jul 12 12:18:46","opdc-ap-2a11","Tyler-Guest","Android","802.11","802.11 association","""channel: 140, rssi: 49, band: 5"""
"Jul 12 12:18:41","opdc-ap-1a15","Tyler-Guest","Android","WPA","WPA authentication",""""""
"Jul 12 12:18:41","opdc-ap-1a15","Tyler-Guest","Android","802.11","802.11 association","""channel: 6, rssi: 47, band: 2"""
"Jul 12 12:18:34","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:18:31","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 54, band: 5"""
"Jul 12 12:18:30","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA authentication",""""""
"Jul 12 12:18:30","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 association","""channel: 100, rssi: 41, band: 5"""
"Jul 12 12:18:28","opdc-ap-2a1","Tyler-Guest","86:62:79:7d:09:79","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:18:26","opdc-ap-2a1","Tyler-Guest","86:62:79:7d:09:79","802.11","802.11 association","""channel: 6, rssi: 45, band: 2"""
"Jul 12 12:18:22","opdc-ap-1a8","Tyler-Guest","Android","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:18:12","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:18:08","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 54, band: 5"""
"Jul 12 12:18:03","opdc-ap-1a8","Tyler-Guest","Android","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:18:03","opdc-ap-1a8","Tyler-Guest","Android","WPA","WPA deauthentication","""radio: 1, vap: 0, client_mac: A6:C1:96:EC:8D:12, aid: 26943372"""
"Jul 12 12:18:02","opdc-ap-1a14","Tyler-Guest","Android","WPA","WPA authentication",""""""
"Jul 12 12:18:02","opdc-ap-1a14","Tyler-Guest","Android","802.11","802.11 association","""channel: 157, rssi: 53, band: 5"""
"Jul 12 12:17:59","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 disassociation","""previous authentication expired"""
"Jul 12 12:17:31","opdc-ap-1a8","Tyler-Guest","Android","WPA","WPA authentication",""""""
"Jul 12 12:17:31","opdc-ap-1a8","Tyler-Guest","Android","802.11","802.11 association","""channel: 44, rssi: 49, band: 5"""
"Jul 12 12:17:27","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA authentication",""""""
"Jul 12 12:17:27","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 association","""channel: 1, rssi: 50, band: 2"""
"Jul 12 12:17:27","opdc-ap-1a13","Tyler-Guest","Android","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:17:27","opdc-ap-1a13","Tyler-Guest","Android","WPA","WPA deauthentication","""radio: 1, vap: 0, client_mac: 26:03:4D:36:17:0E"""
"Jul 12 12:16:59","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:16:59","opdc-ap-2a1","Tyler-Guest","86:62:79:7d:09:79","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:16:58","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:16:56","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 1, rssi: 53, band: 2"""
"Jul 12 12:16:55","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 association","""channel: 165, rssi: 41, band: 5"""
"Jul 12 12:16:55","opdc-ap-2a1","Tyler-Guest","86:62:79:7d:09:79","802.11","802.11 association","""channel: 6, rssi: 43, band: 2"""
"Jul 12 12:16:54","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:16:50","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 1, rssi: 50, band: 2"""
"Jul 12 12:16:34","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:16:30","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 association","""channel: 165, rssi: 42, band: 5"""
"Jul 12 12:16:28","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:16:28","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:16:25","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 association","""channel: 165, rssi: 43, band: 5"""
"Jul 12 12:16:25","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 46, band: 5"""
"Jul 12 12:16:23","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:16:20","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 association","""channel: 165, rssi: 43, band: 5"""
"Jul 12 12:16:19","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:16:19","opdc-ap-2a12","Tyler-Guest","Android","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:16:19","opdc-ap-2a12","Tyler-Guest","Android","WPA","WPA deauthentication","""radio: 1, vap: 0, client_mac: A6:C1:96:EC:8D:12, aid: 652218646"""
"Jul 12 12:16:15","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 association","""channel: 165, rssi: 43, band: 5"""
"Jul 12 12:16:12","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:16:01","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 disassociation","""previous authentication expired"""
"Jul 12 12:15:56","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:15:56","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA deauthentication","""radio: 1, vap: 4, client_mac: B2:F8:7E:8B:BB:C4, aid: 1040606977"""
"Jul 12 12:15:51","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:15:50","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:15:50","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 58, band: 5"""
"Jul 12 12:15:48","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 45, band: 5"""
"Jul 12 12:15:36","opdc-ap-1a11","Tyler-Corp","Rooney","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:15:29","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA authentication",""""""
"Jul 12 12:15:29","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 association","""channel: 144, rssi: 42, band: 5"""
"Jul 12 12:15:26","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:15:23","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 46, band: 5"""
"Jul 12 12:15:21","opdc-ap-2a14","","","Air Marshal","Device Containment","""type: containing_device, ssid: DIRECT-Tyler-Corp2, bssid: B2:52:16:5F:2B:BE"""
"Jul 12 12:15:18","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:15:18","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 108, rssi: 41, band: 5"""
"Jul 12 12:15:17","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:15:13","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 108, rssi: 41, band: 5"""
"Jul 12 12:15:13","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:15:13","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.11","802.11 association","""channel: 108, rssi: 41, band: 5"""
"Jul 12 12:15:13","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:15:12","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 165, rssi: 42, band: 5"""
"Jul 12 12:15:12","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:15:10","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:15:09","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:15:07","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 45, band: 5"""
"Jul 12 12:15:00","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:14:58","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:14:57","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA authentication",""""""
"Jul 12 12:14:57","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 association","""channel: 100, rssi: 35, band: 5"""
"Jul 12 12:14:57","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:14:57","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA deauthentication","""radio: 1, vap: 4, client_mac: B2:F8:7E:8B:BB:C4, aid: 60937593"""
"Jul 12 12:14:56","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 40, band: 5"""
"Jul 12 12:14:56","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 58, band: 5"""
"Jul 12 12:14:55","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:14:52","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 40, band: 5"""
"Jul 12 12:14:45","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:14:44","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:14:42","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 45, band: 5"""
"Jul 12 12:14:41","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:14:40","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 58, band: 5"""
"Jul 12 12:14:37","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 45, band: 5"""
"Jul 12 12:14:32","opdc-ap-2a5","Tyler-Corp","GLee-MacBook-Pro-2","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:14:26","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:14:23","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 42, band: 5"""
"Jul 12 12:14:23","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:14:19","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 42, band: 5"""
"Jul 12 12:14:18","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:14:14","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 43, band: 5"""
"Jul 12 12:14:13","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:14:10","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 43, band: 5"""
"Jul 12 12:14:09","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 165, rssi: 42, band: 5"""
"Jul 12 12:14:09","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:14:06","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:14:04","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA authentication",""""""
"Jul 12 12:14:04","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 association","""channel: 1, rssi: 50, band: 2"""
"Jul 12 12:14:04","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:13:49","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:13:49","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 57, band: 5"""
"Jul 12 12:13:47","opdc-ap-1a12","Tyler-Corp2","ea:52:9d:62:aa:1a","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:13:45","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:13:45","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.11","802.11 association","""channel: 1, rssi: 49, band: 2"""
"Jul 12 12:13:45","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.1X","RADIUS response","""radio: 0, vap: 1, group: """
"Jul 12 12:13:43","opdc-ap-1a12","Tyler-Corp2","ea:52:9d:62:aa:1a","802.11","802.11 association","""channel: 1, rssi: 49, band: 2"""
"Jul 12 12:13:31","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:13:31","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.1X","RADIUS response","""radio: 0, vap: 1, group: """
"Jul 12 12:13:31","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.11","802.11 association","""channel: 1, rssi: 53, band: 2"""
"Jul 12 12:13:30","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:13:26","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 1, rssi: 52, band: 2"""
"Jul 12 12:13:26","opdc-ap-2a14","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:13:26","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:13:25","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.11","802.11 association","""channel: 1, rssi: 52, band: 2"""
"Jul 12 12:13:25","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.1X","RADIUS response","""radio: 0, vap: 1, group: """
"Jul 12 12:13:23","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:13:22","opdc-ap-2a14","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 association","""channel: 112, rssi: 38, band: 5"""
"Jul 12 12:13:19","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 1, rssi: 52, band: 2"""
"Jul 12 12:13:19","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:13:18","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.11","802.11 association","""channel: 1, rssi: 51, band: 2"""
"Jul 12 12:13:18","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.1X","RADIUS response","""radio: 0, vap: 1, group: """
"Jul 12 12:13:18","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:13:17","opdc-ap-2a14","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:13:15","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:13:14","opdc-ap-2a14","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 association","""channel: 112, rssi: 39, band: 5"""
"Jul 12 12:13:13","opdc-ap-2a6","Tyler-Guest","86:62:79:7d:09:79","802.11","802.11 disassociation","""client has left AP"""
